player,num_season,tot_pts
A.C. Green,1,521
A.C. Green,2,852
A.C. Green,3,937
A.C. Green,4,1088
A.C. Green,5,1061
A.C. Green,6,750
A.C. Green,7,1116
A.C. Green,8,1051
A.C. Green,9,1204
A.C. Green,10,916
A.C. Green,11,612
A.C. Green,12,1194
A.C. Green,13,600
A.C. Green,14,246
A.C. Green,15,413
A.C. Green,16,367
A.J. Bramlett,1,8
A.J. English,1,616
A.J. English,2,886
A.J. Guyton,1,198
A.J. Guyton,2,244
A.J. Guyton,3,0
A.J. Hammons,1,48
A.J. Price,1,410
A.J. Price,2,323
A.J. Price,3,172
A.J. Price,4,441
A.J. Price,5,44
A.J. Price,6,266
A.J. Wynder,1,12
A.W. Holt,1,4
Aaron Brooks,1,264
Aaron Brooks,2,894
Aaron Brooks,3,1604
Aaron Brooks,4,1268
Aaron Brooks,6,752
Aaron Brooks,7,1290
Aaron Brooks,8,954
Aaron Brooks,9,491
Aaron Brooks,10,322
Aaron Gordon,1,243
Aaron Gordon,2,719
Aaron Gordon,3,1019
Aaron Gray,1,262
Aaron Gray,2,196
Aaron Gray,3,208
Aaron Gray,4,129
Aaron Gray,5,191
Aaron Gray,6,119
Aaron Gray,7,130
Aaron Harrison,1,18
Aaron Harrison,2,1
Aaron James,1,887
Aaron James,2,677
Aaron James,3,565
Aaron James,4,973
Aaron James,5,727
Aaron McKie,1,293
Aaron McKie,2,864
Aaron McKie,3,866
Aaron McKie,4,664
Aaron McKie,5,240
Aaron McKie,6,653
Aaron McKie,7,878
Aaron McKie,8,587
Aaron McKie,9,721
Aaron McKie,10,689
Aaron McKie,11,152
Aaron McKie,12,7
Aaron McKie,13,22
Aaron Miles,1,16
Aaron Swinson,1,24
Aaron Williams,1,4
Aaron Williams,2,24
Aaron Williams,4,406
Aaron Williams,5,296
Aaron Williams,6,158
Aaron Williams,7,616
Aaron Williams,8,838
Aaron Williams,9,592
Aaron Williams,10,500
Aaron Williams,11,450
Aaron Williams,12,146
Aaron Williams,13,444
Aaron Williams,14,76
Aaron Williams,15,68
Abdul Jeelani,1,737
Abdul Jeelani,2,553
Acie Earl,1,410
Acie Earl,2,66
Acie Earl,3,316
Acie Earl,4,376
Acie Law,1,235
Acie Law,2,162
Acie Law,3,226
Acie Law,4,430
Adam Harrington,1,60
Adam Keefe,1,542
Adam Keefe,2,273
Adam Keefe,3,461
Adam Keefe,4,499
Adam Keefe,5,235
Adam Keefe,6,620
Adam Keefe,7,174
Adam Keefe,8,135
Adam Keefe,9,168
Adam Morrison,1,917
Adam Morrison,3,418
Adam Morrison,4,74
Adonal Foyle,1,165
Adonal Foyle,2,129
Adonal Foyle,3,420
Adonal Foyle,4,342
Adonal Foyle,5,379
Adonal Foyle,6,440
Adonal Foyle,7,137
Adonal Foyle,8,352
Adonal Foyle,9,345
Adonal Foyle,10,107
Adonal Foyle,11,156
Adonal Foyle,12,34
Adonis Jordan,1,15
Adonis Jordan,6,6
Adonis Thomas,1,28
Adreian Payne,1,426
Adreian Payne,2,132
Adreian Payne,3,63
Adrian Branch,1,138
Adrian Branch,2,133
Adrian Branch,3,498
Adrian Branch,4,65
Adrian Caldwell,1,97
Adrian Caldwell,2,77
Adrian Caldwell,6,5
Adrian Caldwell,7,110
Adrian Caldwell,8,202
Adrian Caldwell,9,0
Adrian Dantley*,1,1564
Adrian Dantley*,2,3394
Adrian Dantley*,3,1040
Adrian Dantley*,4,1903
Adrian Dantley*,5,2452
Adrian Dantley*,6,2457
Adrian Dantley*,7,676
Adrian Dantley*,8,2418
Adrian Dantley*,9,1462
Adrian Dantley*,10,2267
Adrian Dantley*,11,1742
Adrian Dantley*,12,1380
Adrian Dantley*,13,2800
Adrian Dantley*,14,662
Adrian Dantley*,15,57
Adrian Griffin,1,485
Adrian Griffin,2,93
Adrian Griffin,3,415
Adrian Griffin,4,325
Adrian Griffin,5,11
Adrian Griffin,6,151
Adrian Griffin,7,237
Adrian Griffin,8,137
Adrian Griffin,9,130
Adrian Smith,1,576
Adrian Smith,2,705
Adrian Smith,3,622
Adrian Smith,4,1210
Adrian Smith,5,1470
Adrian Smith,6,1347
Adrian Smith,7,1280
Adrian Smith,8,703
Adrian Smith,9,916
Adrian Smith,10,111
Al Attles,1,541
Al Attles,2,844
Al Attles,3,735
Al Attles,4,763
Al Attles,5,679
Al Attles,6,882
Al Attles,7,512
Al Attles,8,654
Al Attles,9,419
Al Attles,10,231
Al Attles,11,68
Al Bianchi,1,563
Al Bianchi,2,570
Al Bianchi,3,719
Al Bianchi,4,531
Al Bianchi,5,296
Al Bianchi,6,826
