Abbr,Team,Logo
AND,,
ATL,Atlanta Hawks,http://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo-300x300.png
BAL,,
BLB,Baltimore Bullets,http://content.sportslogos.net/logos/6/589/thumbs/58987951970.gif
BOS,Boston Celtics,http://loodibee.com/wp-content/uploads/nba-boston-celtics-logo-300x300.png
BRK,Brooklyn Nets,http://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo-300x300.png
BUF,Buffalo Braves,http://content.sportslogos.net/logos/6/253/thumbs/5451.gif
CAP,Capital Bullets,http://content.sportslogos.net/logos/6/588/thumbs/5602.gif
CHA,Charlotte Bobcats,http://content.sportslogos.net/logos/6/258/thumbs/8qy7zreof44lznm0kfwvjmvge.gif
CHH,Charlotte Hornets,http://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo-300x300.png
CHI,Chicago Bulls,http://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo-300x300.png
CHO,,
CHP,,
CHS,Chicago Stags,http://content.sportslogos.net/logos/6/1120/thumbs/5044.gif
CHZ,Chicago Zephyrs,http://content.sportslogos.net/logos/6/251/thumbs/3686juybgh18am0tf3nvv7hfg.gif
CIN,Cincinnati Royals,http://content.sportslogos.net/logos/6/247/thumbs/5379.gif
CLE,Cleveland Cavaliers,http://loodibee.com/wp-content/uploads/nba-cleveland-cavaliers-logo-300x300.png
DAL,Dallas Mavericks,http://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo-300x300.png
DEN,Denver Rockets,http://content.sportslogos.net/logos/18/1127/thumbs/5211.gif
DET,Detroit Pistons,http://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo-300x300.png
DNN,Denver Nuggets,http://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018-300x300.png
FTW,Fort Wayne Pistons,http://content.sportslogos.net/logos/6/244/thumbs/4953.gif
GSW,Golden State Warriors,http://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo-300x300.png
HOU,Houston Rockets,http://loodibee.com/wp-content/uploads/nba-houston-rockets-logo-300x300.png
IND,Indiana Pacers,http://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo-300x300.png
INO,,
KCK,Kansas City Kings,http://content.sportslogos.net/logos/6/248/thumbs/5383.gif
KCO,Kansas City-Omaha Kings,http://content.sportslogos.net/logos/6/2688/thumbs/5382.gif
LAC,Los Angeles Clippers,http://loodibee.com/wp-content/uploads/nba-la-clippers-logo-png-300x300.png
LAL,Los Angeles Lakers,http://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo-300x300.png
MEM,Memphis Grizzlies,http://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo-300x300.png
MIA,Miami Heat,http://loodibee.com/wp-content/uploads/nba-miami-heat-logo-300x300.png
MIL,Milwaukee Bucks,http://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo-300x300.png
MIN,Minnesota Timberwolves,http://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo-300x300.png
MLH,New Orleans Hornets,http://content.sportslogos.net/logos/6/226/thumbs/legngwiheii4eld1u0agakxhc.gif
MNL,,
NJN,New Jersey Nets,http://content.sportslogos.net/logos/6/215/thumbs/hvkhsaffs9x9zre7gku4vmnte.gif
NOH,,
NOJ,New Orleans Jazz,http://content.sportslogos.net/logos/6/255/thumbs/5776.gif
NOK,,
NOP,New Orleans Pelicans,http://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo-300x300.png
NYK,New York Knicks,http://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo-300x300.png
NYN,,
OKC,Oklahoma City Thunder,http://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo-300x300.png
ORL,Orlando Magic,http://loodibee.com/wp-content/uploads/nba-orlando-magic-logo-300x300.png
PHI,Philadelphia 76ers,http://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo-300x300.png
PHO,Phoenix Suns,http://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo-300x300.png
PHW,Philadelphia Warriors,http://content.sportslogos.net/logos/6/249/thumbs/5508.gif
POR,Portland Trail Blazers,http://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo-300x300.png
ROC,Rochester Royals,http://content.sportslogos.net/logos/6/246/thumbs/5377.gif
SAC,Sacramento Kings,http://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo-300x300.png
SAS,San Antonoio Spurs,http://loodibee.com/wp-content/uploads/nba-san-antonio-spurs-logo-300x300.png
SDC,,
SDR,San Diego Rockets,http://content.sportslogos.net/logos/6/252/thumbs/4788.gif
SEA,Seattle Supersonics,http://content.sportslogos.net/logos/6/241/thumbs/g98gtsog4k7deexgpo81fi0vn.gif
SFW,San Francisco Warriors,http://content.sportslogos.net/logos/6/1429/thumbs/5972.gif
SHE,,
STB,St. Louis Bombers,http://content.sportslogos.net/logos/6/1125/thumbs/5042.gif
STL,St. Louis Hawks,http://content.sportslogos.net/logos/6/243/thumbs/lbr7pmgzcio7uqdwkwxch8l30.gif
SYR,Syracuse Nationals,http://content.sportslogos.net/logos/6/250/thumbs/4600.gif
TOR,Toronto Raptors,http://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo-300x300.png
TOT,,
TRI,Tri-Cities Blackhawks,http://content.sportslogos.net/logos/6/1124/thumbs/5658.gif
UTA,Utah Jazz,http://loodibee.com/wp-content/uploads/nba-utah-jazz-logo-300x300.png
VAN,Vancouver Grizzlies,http://content.sportslogos.net/logos/6/257/thumbs/7hc558rh9vls8j6fam4hly46n.gif
WAS,Washington Wizards,http://loodibee.com/wp-content/uploads/nba-washington-wizards-logo-300x300.png
WAT,,
WSB,Washington Bullets,http://content.sportslogos.net/logos/6/587/thumbs/5603.gif
WSC,,
